% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0172143	1	0	0	1.709e-13	360.289	0
0.0172143	1	0	0	9.52645e-13	2008.35	0
0.0172143	1	0	0	1.42512e-13	300.441	0
0.0172143	1	0	0	1.61688e-11	34086.9	0
0.0172143	1	0	0	5.05213e-13	1065.08	0
0.0172143	1	0	0	1.87118e-13	394.479	0
0.0172143	1	0	0	1.67184e-13	352.455	0
0.0172143	1	0	0	4.90947e-13	1035.01	0
0.0172143	1	0	0	1.42543e-13	300.508	0
0.0172143	1	0	0	1.18787e-13	250.425	0
0.0172143	1	0	0	2.12148e-09	4.47248e+06	0
0.0172143	1	0	0	2.91306e-13	614.128	0
0.0172143	1	0	0	1.18829e-13	250.513	0
0.0172143	1	0	0	1.24395e-13	262.247	0
0.0172143	1	0	0	1.98536e-13	418.551	0
0.0172143	1	0	0	1.67342e-13	352.788	0
0.0172143	1	0	0	1.41554e-13	298.423	0
0.0172143	1	0	0	1.901e-13	400.766	0
0.0172143	1	0	0	1.86268e-13	392.687	0
0.0182143	1	0	0	1.47847e-13	311.688	0
0.0182143	1	0	0	3.89105e-13	820.305	0
0.0182143	1	0	0	1.709e-13	360.289	0
0.0182143	1	0	0	9.52654e-13	2008.37	0
0.0182143	1	0	0	1.42513e-13	300.443	0
0.0182143	1	0	0	1.61684e-11	34086.1	0
0.0182143	1	0	0	5.05219e-13	1065.1	0
0.0182143	1	0	0	1.87118e-13	394.48	0
0.0182143	1	0	0	1.67186e-13	352.458	0
0.0182143	1	0	0	4.90952e-13	1035.02	0
0.0182143	1	0	0	1.42542e-13	300.506	0
0.0182143	1	0	0	1.18786e-13	250.424	0
0.0182143	1	0	0	2.12298e-09	4.47563e+06	0
0.0182143	1	0	0	2.91309e-13	614.134	0
0.0182143	1	0	0	1.18829e-13	250.513	0
0.0182143	1	0	0	1.24394e-13	262.247	0
0.0182143	1	0	0	1.98535e-13	418.548	0
0.0182143	1	0	0	1.67342e-13	352.788	0
0.0182143	1	0	0	1.41555e-13	298.425	0
0.0182143	1	0	0	1.901e-13	400.767	0
0.0182143	1	0	0	1.86267e-13	392.685	0
0.0192143	1	0	0	1.47847e-13	311.689	0
0.0192143	1	0	0	3.89104e-13	820.304	0
0.0192143	1	0	0	1.709e-13	360.289	0
0.0192143	1	0	0	9.52663e-13	2008.39	0
0.0192143	1	0	0	1.42513e-13	300.445	0
0.0192143	1	0	0	1.6168e-11	34085.2	0
0.0192143	1	0	0	5.05225e-13	1065.11	0
0.0192143	1	0	0	1.87119e-13	394.481	0
0.0192143	1	0	0	1.67187e-13	352.461	0
0.0192143	1	0	0	4.90956e-13	1035.03	0
0.0192143	1	0	0	1.42541e-13	300.503	0
0.0192143	1	0	0	1.18786e-13	250.423	0
0.0192143	1	0	0	2.12447e-09	4.47878e+06	0
0.0192143	1	0	0	2.91312e-13	614.139	0
0.0192143	1	0	0	1.18829e-13	250.513	0
0.0192143	1	0	0	1.24394e-13	262.246	0
0.0192143	1	0	0	1.98533e-13	418.545	0
0.0192143	1	0	0	1.67342e-13	352.789	0
0.0192143	1	0	0	1.41556e-13	298.427	0
0.0192143	1	0	0	1.90101e-13	400.768	0
0.0192143	1	0	0	1.86266e-13	392.683	0
0.0202143	1	0	0	1.47848e-13	311.69	0
0.0202143	1	0	0	3.89104e-13	820.303	0
0.0202143	1	0	0	1.709e-13	360.289	0
0.0202143	1	0	0	9.52672e-13	2008.41	0
0.0202143	1	0	0	1.42514e-13	300.447	0
0.0202143	1	0	0	1.61676e-11	34084.3	0
0.0202143	1	0	0	5.05231e-13	1065.12	0
0.0202143	1	0	0	1.87119e-13	394.482	0
0.0202143	1	0	0	1.67188e-13	352.464	0
0.0202143	1	0	0	4.90961e-13	1035.04	0
0.0202143	1	0	0	1.4254e-13	300.501	0
0.0202143	1	0	0	1.18785e-13	250.421	0
0.0202143	1	0	0	2.12597e-09	4.48194e+06	0
0.0202143	1	0	0	2.91315e-13	614.145	0
0.0202143	1	0	0	1.18829e-13	250.513	0
0.0202143	1	0	0	1.24394e-13	262.246	0
0.0202143	1	0	0	1.98532e-13	418.542	0
0.0202143	1	0	0	1.67342e-13	352.789	0
0.0202143	1	0	0	1.41557e-13	298.428	0
0.0202143	1	0	0	1.90101e-13	400.769	0
0.0202143	1	0	0	1.86265e-13	392.682	0
0.0212143	1	0	15	1.47848e-13	311.691	0
0.0212143	1	0	0	3.89103e-13	820.302	0
0.0212143	1	0	13	1.709e-13	360.289	0
0.0212143	1	0	10	9.52682e-13	2008.43	0
